model,ticker,horizon,DA,IC,IC_pval,RMSE,MAE,n_obs
VARX,KPRMILL.NS,3,0.6154,0.0131,0.9492,0.09174,0.073796,26
ARIMAX,KPRMILL.NS,6,0.3478,0.1922,0.3796,0.090066,0.077174,23
VARX,KPRMILL.NS,6,0.6522,0.3979,0.0601,0.085375,0.068351,23
ARIMAX,KPRMILL.NS,12,0.5294,-0.0211,0.9359,0.10186,0.086017,17
VARX,KPRMILL.NS,12,0.7059,-0.4144,0.0982,0.103825,0.086176,17
ARIMAX,GREENLAM.NS,1,0.5357,-0.1635,0.4057,0.100885,0.075584,28
VARX,GREENLAM.NS,1,0.5,-0.1543,0.433,0.11873,0.09354,28
ARIMAX,GREENLAM.NS,3,0.5385,-0.2777,0.1696,0.098011,0.073504,26
VARX,GREENLAM.NS,3,0.5385,0.0953,0.6434,0.103508,0.08144,26
ARIMAX,GREENLAM.NS,6,0.4348,-0.0797,0.7177,0.099554,0.075187,23
VARX,GREENLAM.NS,6,0.4783,0.0467,0.8325,0.108474,0.087215,23
ARIMAX,GREENLAM.NS,12,0.5294,0.0156,0.9525,0.108253,0.082477,17
VARX,GREENLAM.NS,12,0.5882,0.1624,0.5334,0.109996,0.084179,17
ARIMAX,CAMLINFINE.NS,1,0.5714,0.1797,0.3603,0.194143,0.160961,28
VARX,CAMLINFINE.NS,1,0.5,0.1721,0.3811,0.199641,0.176807,28
ARIMAX,CAMLINFINE.NS,3,0.5769,0.2477,0.2224,0.185746,0.145532,26
VARX,CAMLINFINE.NS,3,0.5,0.0895,0.6637,0.188802,0.149129,26
ARIMAX,CAMLINFINE.NS,6,0.6087,0.3461,0.1058,0.179248,0.144946,23
VARX,CAMLINFINE.NS,6,0.6522,0.3559,0.0955,0.172761,0.129752,23
ARIMAX,CAMLINFINE.NS,12,0.2941,-0.4307,0.0844,0.281021,0.244725,17
VARX,CAMLINFINE.NS,12,0.2941,-0.4325,0.0829,0.265128,0.228524,17
ARIMAX,SURYAROSNI.NS,1,0.5,0.0498,0.8015,0.135635,0.108658,28
VARX,SURYAROSNI.NS,1,0.4643,-0.0392,0.8431,0.147562,0.123434,28
ARIMAX,SURYAROSNI.NS,3,0.5,0.0834,0.6855,0.127673,0.102394,26
VARX,SURYAROSNI.NS,3,0.5769,0.0649,0.7526,0.136724,0.111141,26
ARIMAX,SURYAROSNI.NS,6,0.4783,-0.1893,0.387,0.135018,0.109817,23
VARX,SURYAROSNI.NS,6,0.5652,-0.0972,0.6591,0.150491,0.122547,23
ARIMAX,SURYAROSNI.NS,12,0.4706,0.2599,0.3137,0.139406,0.113342,17
VARX,SURYAROSNI.NS,12,0.5294,-0.0794,0.7619,0.155511,0.127462,17
ARIMAX,EIDPARRY.NS,1,0.5,-0.1087,0.5817,0.106333,0.09027,28
VARX,EIDPARRY.NS,1,0.5714,-0.0452,0.8193,0.128495,0.102974,28
ARIMAX,EIDPARRY.NS,3,0.5,-0.0117,0.9547,0.101416,0.084238,26
VARX,EIDPARRY.NS,3,0.6538,0.1175,0.5675,0.112693,0.08937,26
ARIMAX,EIDPARRY.NS,6,0.4348,0.2815,0.1931,0.096246,0.08147,23
VARX,EIDPARRY.NS,6,0.5217,0.4656,0.0252,0.103051,0.075694,23
ARIMAX,EIDPARRY.NS,12,0.2353,-0.4608,0.0627,0.126628,0.114994,17
VARX,EIDPARRY.NS,12,0.4706,-0.1516,0.5614,0.142473,0.1266,17
ARIMAX,BANDHANBNK.NS,1,0.5357,-0.095,0.6305,0.110121,0.079961,28
VARX,BANDHANBNK.NS,1,0.3214,-0.2331,0.2326,0.175125,0.152284,28
ARIMAX,BANDHANBNK.NS,3,0.5385,0.0962,0.64,0.109731,0.079016,26
VARX,BANDHANBNK.NS,3,0.4615,-0.1439,0.4831,0.170032,0.127689,26
ARIMAX,BANDHANBNK.NS,6,0.6522,0.1375,0.5316,0.113018,0.078535,23
VARX,BANDHANBNK.NS,6,0.6957,0.0173,0.9376,0.161849,0.10575,23
ARIMAX,BANDHANBNK.NS,12,0.4706,-0.215,0.4073,0.134729,0.095718,17
VARX,BANDHANBNK.NS,12,0.3529,-0.1419,0.5868,0.173263,0.149092,17
ARIMAX,ABREL.NS,1,0.6071,0.2014,0.3042,0.191151,0.157814,28
VARX,ABREL.NS,1,0.3571,-0.2387,0.2213,0.154817,0.129002,28
ARIMAX,ABREL.NS,3,0.5769,0.1322,0.5198,0.18276,0.152636,26
VARX,ABREL.NS,3,0.5,-0.1298,0.5275,0.143229,0.115737,26
ARIMAX,ABREL.NS,6,0.5652,0.0104,0.9626,0.187629,0.145175,23
VARX,ABREL.NS,6,0.6087,0.1396,0.5253,0.138575,0.100833,23
ARIMAX,ABREL.NS,12,0.3529,-0.1574,0.5462,0.197888,0.154521,17
VARX,ABREL.NS,12,0.3529,-0.2058,0.428,0.163134,0.135605,17
ARIMAX,INDIGO.NS,1,0.6071,-0.0452,0.8192,0.087438,0.064983,28
VARX,INDIGO.NS,1,0.4643,-0.1371,0.4865,0.103179,0.082791,28
ARIMAX,INDIGO.NS,3,0.6538,0.2791,0.1673,0.081364,0.058918,26
VARX,INDIGO.NS,3,0.6154,0.1553,0.4488,0.087025,0.066205,26
ARIMAX,INDIGO.NS,6,0.6957,0.3132,0.1455,0.085282,0.065581,23
VARX,INDIGO.NS,6,0.6957,0.3827,0.0715,0.082661,0.067086,23
ARIMAX,INDIGO.NS,12,0.4706,-0.2694,0.2958,0.094828,0.07322,17
VARX,INDIGO.NS,12,0.4706,-0.3387,0.1836,0.113465,0.094798,17
ARIMAX,MARATHON.NS,1,0.4643,-0.0848,0.6678,0.170946,0.131548,28
VARX,MARATHON.NS,1,0.5357,-0.2034,0.2991,0.215626,0.159841,28
ARIMAX,MARATHON.NS,3,0.4615,-0.0771,0.7081,0.172388,0.131528,26
VARX,MARATHON.NS,3,0.5385,-0.1927,0.3456,0.216389,0.153308,26
ARIMAX,MARATHON.NS,6,0.4348,-0.0592,0.7884,0.15334,0.121593,23
VARX,MARATHON.NS,6,0.5217,0.0015,0.9946,0.185318,0.150606,23
ARIMAX,MARATHON.NS,12,0.3529,-0.2937,0.2526,0.169228,0.133305,17
VARX,MARATHON.NS,12,0.6471,-0.295,0.2503,0.228127,0.168284,17
ARIMAX,LTTS.NS,1,0.5,0.0007,0.9974,0.115587,0.089378,28
ARIMAX,LTTS.NS,3,0.5,0.1106,0.5908,0.10171,0.087047,26
ARIMAX,LTTS.NS,6,0.5217,-0.0039,0.986,0.103803,0.085013,23
ARIMAX,LTTS.NS,12,0.3529,0.0711,0.7863,0.109043,0.089497,17
ARIMAX,ASTERDM.NS,1,0.5,-0.1242,0.529,0.09591,0.076376,28
VARX,ASTERDM.NS,1,0.5714,-0.1379,0.484,0.108308,0.079586,28
ARIMAX,ASTERDM.NS,3,0.5,-0.1335,0.5157,0.093564,0.075129,26
VARX,ASTERDM.NS,3,0.5769,-0.1356,0.5089,0.0988,0.080233,26
ARIMAX,ASTERDM.NS,6,0.6522,0.3316,0.1221,0.087044,0.06682,23
VARX,ASTERDM.NS,6,0.8261,0.3466,0.1052,0.081843,0.066846,23
ARIMAX,ASTERDM.NS,12,0.5294,-0.0772,0.7683,0.098845,0.078877,17
VARX,ASTERDM.NS,12,0.4118,-0.0738,0.7784,0.098926,0.075981,17
ARIMAX,BSE.NS,1,0.5714,-0.0486,0.8059,0.135544,0.108608,28
VARX,BSE.NS,1,0.5714,-0.0359,0.8561,0.141421,0.113748,28
ARIMAX,BSE.NS,3,0.5385,0.0303,0.8831,0.136729,0.115298,26
VARX,BSE.NS,3,0.5385,0.0472,0.819,0.141083,0.120846,26
ARIMAX,BSE.NS,6,0.6087,-0.0552,0.8023,0.139116,0.113352,23
VARX,BSE.NS,6,0.6087,-0.028,0.8991,0.143428,0.115572,23
ARIMAX,BSE.NS,12,0.5294,-0.1287,0.6226,0.156124,0.132976,17
VARX,BSE.NS,12,0.5294,-0.1325,0.6122,0.160818,0.13523,17
