ticker,horizon,model,pw_weight
INDIGO.NS,12,VARX,0.4553
MARATHON.NS,1,ARIMAX,0.5578
MARATHON.NS,1,VARX,0.4422
MARATHON.NS,3,ARIMAX,0.5566
MARATHON.NS,3,VARX,0.4434
MARATHON.NS,6,ARIMAX,0.5472
MARATHON.NS,6,VARX,0.4528
MARATHON.NS,12,ARIMAX,0.5741
MARATHON.NS,12,VARX,0.4259
ASTERDM.NS,1,ARIMAX,0.5304
ASTERDM.NS,1,VARX,0.4696
ASTERDM.NS,3,ARIMAX,0.5136
ASTERDM.NS,3,VARX,0.4864
ASTERDM.NS,6,ARIMAX,0.4846
ASTERDM.NS,6,VARX,0.5154
ASTERDM.NS,12,ARIMAX,0.5002
ASTERDM.NS,12,VARX,0.4998
BSE.NS,1,ARIMAX,0.5106
BSE.NS,1,VARX,0.4894
BSE.NS,3,ARIMAX,0.5078
BSE.NS,3,VARX,0.4922
BSE.NS,6,ARIMAX,0.5076
BSE.NS,6,VARX,0.4924
BSE.NS,12,ARIMAX,0.5074
BSE.NS,12,VARX,0.4926
