model,ticker,horizon,order_p,order_q,n_test,AIC,BIC,RMSE,MAE,ME,MAPE,SMAPE,DA,group
ARIMAX,CAMLINFINE.NS,12,0,0.0,18,-164.71,-135.39,0.198065,0.17046,0.059685,669.148517,135.801155,0.611111,
ARIMAX,SURYAROSNI.NS,1,0,0.0,29,-110.94,-81.62,0.085969,0.062236,0.037555,61.790635,96.202286,0.931034,
ARIMAX,SURYAROSNI.NS,3,0,0.0,27,-110.94,-81.62,0.143394,0.120441,0.021792,148.384803,152.203503,0.518519,
ARIMAX,SURYAROSNI.NS,6,0,0.0,24,-110.94,-81.62,0.167207,0.139969,0.025532,157.041347,163.413392,0.416667,
ARIMAX,SURYAROSNI.NS,12,0,0.0,18,-110.94,-81.62,0.127707,0.110349,0.035657,134.473579,149.465677,0.444444,
ARIMAX,EIDPARRY.NS,1,0,0.0,29,-102.15,-72.83,0.092234,0.078124,0.00804,95.957414,147.494653,0.586207,
ARIMAX,EIDPARRY.NS,3,0,0.0,27,-102.15,-72.83,0.102289,0.090019,0.002696,123.029154,171.241023,0.518519,
ARIMAX,EIDPARRY.NS,6,0,0.0,24,-102.15,-72.83,0.09991,0.083323,0.016017,97.862633,164.429764,0.416667,
ARIMAX,EIDPARRY.NS,12,0,0.0,18,-102.15,-72.83,0.10436,0.092608,0.028269,125.640306,162.805531,0.611111,
ARIMAX,BANDHANBNK.NS,1,0,0.0,29,-95.24,-65.92,0.075974,0.063882,0.013818,952932255.725538,145.635744,0.482759,
ARIMAX,BANDHANBNK.NS,3,0,0.0,27,-95.24,-65.92,0.125898,0.090442,0.006794,514848058.862597,151.046956,0.481481,
ARIMAX,BANDHANBNK.NS,6,0,0.0,24,-95.24,-65.92,0.11295,0.084458,0.002382,194.208181,160.805856,0.416667,
ARIMAX,BANDHANBNK.NS,12,0,0.0,18,-95.24,-65.92,0.132276,0.097368,-0.019728,372.700887,163.506091,0.388889,
ARIMAX,ABREL.NS,1,0,2.0,29,-119.05,-85.54,0.095667,0.085684,0.050294,295.67906,110.04235,0.758621,
ARIMAX,ABREL.NS,3,0,2.0,27,-119.05,-85.54,0.132654,0.110192,0.056861,295.414072,120.110678,0.703704,
ARIMAX,ABREL.NS,6,0,2.0,24,-119.05,-85.54,0.187508,0.169292,0.069529,413.319484,173.716649,0.375,
ARIMAX,ABREL.NS,12,0,2.0,18,-119.05,-85.54,0.182573,0.146794,0.088644,176.115952,129.690659,0.555556,
ARIMAX,INDIGO.NS,1,0,0.0,29,-123.59,-98.46,0.078872,0.060219,0.013153,168.820257,109.65826,0.724138,
ARIMAX,INDIGO.NS,3,0,0.0,27,-123.59,-98.46,0.103433,0.081086,0.016845,217.275509,139.110554,0.555556,
ARIMAX,INDIGO.NS,6,0,0.0,24,-123.59,-98.46,0.107696,0.082671,0.024907,242.678593,134.80581,0.625,
ARIMAX,INDIGO.NS,12,0,0.0,18,-123.59,-98.46,0.088519,0.067379,0.0218,188.831417,125.474058,0.611111,
ARIMAX,MARATHON.NS,1,0,0.0,29,-42.74,-19.7,0.118222,0.089353,0.009631,106.340284,109.307867,0.758621,
ARIMAX,MARATHON.NS,3,0,0.0,27,-42.74,-19.7,0.178027,0.151283,0.022448,298.793047,164.079072,0.592593,
ARIMAX,MARATHON.NS,6,0,0.0,24,-42.74,-19.7,0.18027,0.142527,0.028535,435.447421,157.791879,0.5,
ARIMAX,MARATHON.NS,12,0,0.0,18,-42.74,-19.7,0.189016,0.156635,0.040443,200.717748,162.169794,0.388889,
ARIMAX,LTTS.NS,1,0,0.0,29,-157.93,-128.61,0.055079,0.04625,0.014093,132.535323,108.13752,0.724138,
ARIMAX,LTTS.NS,3,0,0.0,27,-157.93,-128.61,0.125012,0.100913,0.012876,197.69147,156.735625,0.444444,
ARIMAX,LTTS.NS,6,0,0.0,24,-157.93,-128.61,0.101369,0.084861,0.019118,202.708798,144.815495,0.625,
ARIMAX,LTTS.NS,12,0,0.0,18,-157.93,-128.61,0.101591,0.082292,0.023121,327.769705,152.818806,0.555556,
ARIMAX,ASTERDM.NS,1,0,0.0,29,-112.55,-83.22,0.08297,0.06502,-0.015659,185.854588,126.946042,0.655172,
ARIMAX,ASTERDM.NS,3,0,0.0,27,-112.55,-83.22,0.09095,0.070259,-0.01755,141.769151,135.798238,0.481481,
ARIMAX,ASTERDM.NS,6,0,0.0,24,-112.55,-83.22,0.088786,0.07691,-0.018284,381.036598,155.862637,0.5,
ARIMAX,ASTERDM.NS,12,0,0.0,18,-112.55,-83.22,0.08139,0.060728,-0.003652,114.704763,114.281693,0.722222,
ARIMAX,BSE.NS,1,0,0.0,29,-88.61,-61.38,0.134314,0.112636,0.05087,360.518504,113.849991,0.689655,
ARIMAX,BSE.NS,3,0,0.0,27,-88.61,-61.38,0.168413,0.145407,0.055925,373.327432,141.954429,0.481481,
ARIMAX,BSE.NS,6,0,0.0,24,-88.61,-61.38,0.187721,0.135445,0.056883,273.947715,131.408711,0.541667,
ARIMAX,BSE.NS,12,0,0.0,18,-88.61,-61.38,0.223968,0.17347,0.09621,391.490453,139.340091,0.444444,
VARX,HDFCBANK.NS,1,1,,29,-19.14,-16.32,0.060386,0.049816,-0.003644,338.902746,145.344424,0.482759,VARX_group_1
VARX,HDFCBANK.NS,3,1,,27,-19.14,-16.32,0.072421,0.058904,-0.008559,408.633892,163.016408,0.555556,VARX_group_1
VARX,HDFCBANK.NS,6,1,,24,-19.14,-16.32,0.076174,0.057227,-0.000105,373.494327,152.571621,0.416667,VARX_group_1
VARX,HDFCBANK.NS,12,1,,18,-19.14,-16.32,0.063781,0.050853,-0.000722,669.653509,137.50937,0.666667,VARX_group_1
VARX,BIOCON.NS,1,1,,29,-19.14,-16.32,0.073143,0.055653,-0.033692,172.923283,112.462536,0.758621,VARX_group_1
VARX,BIOCON.NS,3,1,,27,-19.14,-16.32,0.116959,0.09278,-0.03833,962.476416,154.232635,0.481481,VARX_group_1
VARX,BIOCON.NS,6,1,,24,-19.14,-16.32,0.119542,0.089779,-0.027083,436.247967,153.591968,0.375,VARX_group_1
